职位名称,详细链接,公司名称,工作地点,薪资,发布时间
['软件研发工程师--郑州'],['https://jobs.51job.com/zhengzhou-gxq/113332831.html?s=01&t=0'],['优德控股集团有限公司'],['郑州-高新区'],['0.8-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou/87962957.html?s=01&t=0'],['北京微金时代科技有限公司'],['郑州'],['4-6千/月'],['06-28']
['Java开发助理'],['https://jobs.51job.com/zhengzhou/114342770.html?s=01&t=0'],['河南六凹六物联网科技有限公司'],['郑州'],['4-6千/月'],['06-28']
['JAVA开发工程师 可实习'],['https://jobs.51job.com/zhengzhou/110392787.html?s=01&t=0'],['郑州汇之众网络科技有限公司'],['郑州'],['4.5-6千/月'],['06-28']
['JAVA服务器端主程（游戏）'],['https://jobs.51job.com/zhengzhou/110514974.html?s=01&t=0'],['北京小奥互动科技股份有限公司'],['郑州'],['1-1.5万/月'],['06-21']
['JAVA工程师（实习生）'],['https://jobs.51job.com/zhengzhou-gxq/112826292.html?s=01&t=0'],['郑州志泽网络科技有限公司'],['郑州-高新区'],['4.5-6千/月'],['06-27']
['Java开发工程师（郑州）'],['https://jobs.51job.com/zhengzhou/106686000.html?s=01&t=0'],['南京君合创胜数据科技有限责任公司'],['郑州'],['0.8-1.5万/月'],['05-29']
['Java高级开发工程师'],['https://jobs.51job.com/jinshuiqu/109207339.html?s=01&t=0'],['南京欣网互联网络科技有限公司'],['郑州-金水区'],['0.6-1.2万/月'],['06-27']
['Web前端开发工程师（有五险）'],['https://jobs.51job.com/zhengzhou-gxq/111178737.html?s=01&t=0'],['郑州源创智控有限公司'],['郑州-高新区'],['0.5-1万/月'],['06-01']
['java高级开发工程师'],['https://jobs.51job.com/jinshuiqu/91826031.html?s=01&t=0'],['郑州远洋电子科技有限公司'],['郑州-金水区'],['0.8-1.8万/月'],['06-28']
['移动Java工程师'],['https://jobs.51job.com/zhengzhou/109557600.html?s=01&t=0'],['河南中原消费金融股份有限公司'],['郑州'],['1-1.5万/月'],['06-28']
['Android开发工程师'],['https://jobs.51job.com/zhengzhou-zzxq/112365124.html?s=01&t=0'],['郑州云峰计算机科技有限公司'],['郑州-郑东新区'],['0.8-1万/月'],['06-01']
['实施工程师'],['https://jobs.51job.com/zhengzhou/110567875.html?s=01&t=0'],['国网汇通金财(北京)信息科技有限公司'],['郑州'],['6-8千/月'],['06-28']
['Java开发实习生'],['https://jobs.51job.com/zhengzhou/114798422.html?s=01&t=0'],['北游国际科技（北京）有限公司'],['郑州'],['0.8-1万/月'],['06-28']
['系统分析/架构师专员（Java方向）'],['https://jobs.51job.com/zhengzhou/111202098.html?s=01&t=0'],['郑州天之涯软件科技有限公司'],['郑州'],['3.8-7.8千/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/jinshuiqu/113636777.html?s=01&t=0'],['上海博登信息科技有限公司'],['郑州-金水区'],['1.5-2.5万/月'],['06-21']
['Java开发实习生'],['https://jobs.51job.com/zhongyuanqu/112565440.html?s=01&t=0'],['郑州志泽网络科技有限公司'],['郑州-中原区'],['4.5-6千/月'],['06-27']
['Java开发工程师'],['https://jobs.51job.com/jinshuiqu/102822775.html?s=01&t=0'],['安徽兆尹信息科技股份有限公司'],['郑州-金水区'],['6-8千/月'],['06-27']
['java开发项目经理'],['https://jobs.51job.com/zhengzhou/90921417.html?s=01&t=0'],['郑州远洋电子科技有限公司'],['郑州'],['0.8-1.5万/月'],['06-28']
['Java大数据培训讲师 8k+'],['https://jobs.51job.com/zhengzhou/87189410.html?s=01&t=0'],['郑州科思沃斯教育科技有限公司'],['郑州'],['0.8-1万/月'],['05-28']
['AI人工智能研发工程师'],['https://jobs.51job.com/zhengzhou-zzxq/110974031.html?s=01&t=0'],['中电科信息产业有限公司'],['郑州-郑东新区'],['1.2-1.6万/月'],['05-31']
['Java中级开发工程师'],['https://jobs.51job.com/jinshuiqu/114311679.html?s=01&t=0'],['上海量投网络科技有限公司'],['郑州-金水区'],['0.8-1.5万/月'],['06-28']
['Java开发实习生+稳定双休'],['https://jobs.51job.com/zhengzhou/111163082.html?s=01&t=0'],['郑州天之涯软件科技有限公司'],['郑州'],['3.8-7.8千/月'],['06-28']
['Java开发工程师（接受实习）'],['https://jobs.51job.com/jinshuiqu/114269497.html?s=01&t=0'],['河南新工科产业学院有限公司'],['郑州-金水区'],['0.8-1万/月'],['06-21']
['Web开发工程师'],['https://jobs.51job.com/zhengzhou-hkg/109616193.html?s=01&t=0'],['郑州昊能科技有限公司'],['郑州-郑州航空...'],['4.5-6千/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou-zzxq/108440307.html?s=01&t=0'],['东华医为科技有限公司'],['郑州-郑东新区'],['5-8千/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/zhongyuanqu/113487808.html?s=01&t=0'],['杭州谐云科技有限公司'],['郑州-中原区'],['1.5-2万/月'],['06-27']
['JAVA开发工程师（实习生）'],['https://jobs.51job.com/guanchenghuizuqu/112215926.html?s=01&t=0'],['郑州志泽网络科技有限公司'],['郑州-管城回族区'],['4.5-6千/月'],['06-27']
['Java讲师'],['https://jobs.51job.com/xinxiang/110987254.html?s=01&t=0'],['河南漫动者教育信息咨询有限公司'],['异地招聘'],['1.5-2万/月'],['05-27']
